EMPRESA_ID,EMPRESA_NOMBRE,EMPRESA_CATEGORIA,EMPRESA_PAIS,EMPRESA_WEB,EMPRESA_EMAIL,PERFIL_ID,USERNAME,PLATAFORMA,FECHA_CREACION_PERFIL,ACTIVO,SEMANA_SNAPSHOT,SEGUIDORES,ALCANCE_SEMANAL,IMPRESIONES_SEMANALES,VISITAS_PERFIL,CREATED_AT,UPDATED_AT
E0001,Antón y Andrés S.A.,Fintech,España,https://www.banca.com,,P00001,@ayusomiriam,YouTube,2023-07-04,false,2024-07-01,36336,11027,32682,2823,2024-07-01 05:11:13.936,2024-07-08 06:00:00.000
E0001,Antón y Andrés S.A.,Fintech,España,https://www.banca.com,info@banca.com,P00001,@ayusomiriam,YouTube,2023-07-04,false,2024-07-08,38789,5498,10368,2121,2024-07-08 02:53:32.752,2024-07-15 02:00:00.000
E0001,Antón y Andrés S.A.,Fintech,España,,,P00001,@ayusomiriam,YouTube,2023-07-04,false,2024-07-15,38747,10554,21484,2288,2024-07-15 04:00:36.604,2024-07-22 06:00:00.000
E0001,Antón y Andrés S.A.,Fintech,España,https://www.banca.com,info@banca.com,P00001,@ayusomiriam,YouTube,2023-07-04,false,2024-07-22,40648,3962,7989,2314,2024-07-22 05:23:20.574,2024-07-29 04:00:00.000
E0001,Antón y Andrés S.A.,Fintech,España,https://www.banca.com,info@banca.com,P00001,@ayusomiriam,YouTube,2023-07-04,false,2024-07-29,42352,11243,32495,1252,2024-07-29 04:21:19.197,2024-08-05 04:00:00.000
E0001,Antón y Andrés S.A.,Fintech,España,https://www.banca.com,info@banca.com,P00001,@ayusomiriam,YouTube,2023-07-04,false,2024-08-05,44693,7845,15036,1040,2024-08-05 01:34:00.687,2024-08-12 04:00:00.000
E0001,Antón y Andrés S.A.,Fintech,España,https://www.banca.com,info@banca.com,P00001,@ayusomiriam,YouTube,2023-07-04,false,2024-08-12,45759,6188,8828,2266,2024-08-12 01:09:50.636,2024-08-19 03:00:00.000
E0001,Antón y Andrés S.A.,Fintech,España,https://www.banca.com,info@banca.com,P00001,@ayusomiriam,YouTube,2023-07-04,false,2024-08-19,47900,2442,6703,964,2024-08-19 01:01:35.145,2024-08-26 06:00:00.000
E0001,Antón y Andrés S.A.,Fintech,España,https://www.banca.com,info@banca.com,P00001,@ayusomiriam,YouTube,2023-07-04,false,2024-08-26,47664,5290,6846,2951,2024-08-26 03:53:23.102,2024-09-02 03:00:00.000
E0001,Antón y Andrés S.A.,Fintech,España,https://www.banca.com,info@banca.com,P00001,@ayusomiriam,YouTube,2023-07-04,false,2024-08-26,47664,5290,6846,2951,2024-08-26 03:53:23.102,2024-09-02 05:00:00.000
E0001,Antón y Andrés S.A.,Fintech,España,https://www.banca.com,,P00001,@ayusomiriam,YouTube,2023-07-04,false,2024-09-02,49883,3251,8484,3526,2024-09-02 03:34:44.816,2024-09-09 04:00:00.000
